rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7767 -0.072 -0.5684 0.2617 -0.0133 -0.3315 -0.7291 0.5986 0.7117 -0.0849 -0.5524 -0.4256 0.1865 0.4238 -0.6369 -0.6164 0.6431 -0.3326 -0.6858 -0.0735 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6558 -0.0262 -0.7466 -0.1086 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.7767 -0.072 -0.5684 0.2617 -0.0133 -0.3315 -0.7291 0.5986 0.7117 -0.0849 -0.5524 -0.4256 0.1865 0.4238 -0.6369 -0.6164 0.6431 -0.3326 -0.6858 -0.0735 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6558 -0.0262 -0.7466 -0.1086 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.7767 -0.072 -0.5684 0.2617 -0.0133 -0.3315 -0.7291 0.5986 0.7117 -0.0849 -0.5524 -0.4256 0.1865 0.4238 -0.6369 -0.6164 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.7767 -0.072 -0.5684 0.2617 -0.0133 -0.3315 -0.7291 0.5986 0.7117 -0.0849 -0.5524 -0.4256 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.7767 -0.072 -0.5684 0.2617 -0.0192 -0.3424 -0.7459 0.5709 0.7117 -0.0849 -0.5524 -0.4256 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7117 -0.0849 -0.5524 -0.4256 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7073 -0.1019 -0.5697 -0.4059 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9369 0.0673 0.3428 0.0135 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7073 -0.1019 -0.5697 -0.4059 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6732 0.2404 -0.6965 0.0624 0.9379 0.0735 0.3387 0.0152 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7073 -0.1019 -0.5697 -0.4059 0.1882 0.4309 -0.6545 -0.5921 0.6445 -0.3324 -0.684 -0.08 0.6766 0.2307 -0.6964 0.0643 0.9379 0.0735 0.3387 0.0152 0.6507 -0.0461 -0.7465 -0.1313 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7073 -0.1019 -0.5697 -0.4059 0.1882 0.4309 -0.6545 -0.5921 0.6453 -0.3423 -0.6746 -0.1069 0.6766 0.2307 -0.6964 0.0643 0.9379 0.0735 0.3387 0.0152 0.6459 -0.0624 -0.7471 -0.1443 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
0.769 -0.0477 -0.5877 0.2469 -0.0192 -0.3424 -0.7459 0.5709 0.7073 -0.1019 -0.5697 -0.4059 0.1984 0.4404 -0.6699 -0.5638 0.6453 -0.3423 -0.6746 -0.1069 0.6766 0.2307 -0.6964 0.0643 0.9379 0.0735 0.3387 0.0152 0.6459 -0.0624 -0.7471 -0.1443 0.6516 -0.3019 -0.6527 -0.2411 0.9232 -0.1396 0.355 -0.048
