rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7953 -0.1341 -0.5797 -0.1157 0.6721 -0.3331 -0.6326 -0.1927 0.7217 -0.2918 -0.5352 -0.328 0.7552 0.0168 -0.6233 -0.2023 0.6669 -0.3691 -0.6288 -0.154 0.7309 0.2214 -0.6435 -0.0516 0.8873 0.2253 0.3832 0.1232 0.6622 -0.173 -0.7102 -0.165 0.7617 -0.1371 -0.632 -0.039 0.9248 0.0096 0.3788 -0.0345
0.7953 -0.1341 -0.5797 -0.1157 0.6731 -0.3326 -0.6341 -0.185 0.7217 -0.2918 -0.5352 -0.328 0.7552 0.0168 -0.6233 -0.2023 0.6669 -0.3691 -0.6288 -0.154 0.7309 0.2214 -0.6435 -0.0516 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7617 -0.1371 -0.632 -0.039 0.9248 0.0096 0.3788 -0.0345
0.7953 -0.1341 -0.5797 -0.1157 0.6731 -0.3326 -0.6341 -0.185 0.7217 -0.2918 -0.5352 -0.328 0.7552 0.0168 -0.6233 -0.2023 0.6669 -0.3691 -0.6288 -0.154 0.7309 0.2214 -0.6435 -0.0516 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7617 -0.1371 -0.632 -0.039 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6731 -0.3326 -0.6341 -0.185 0.7235 -0.287 -0.537 -0.3251 0.7552 0.0168 -0.6233 -0.2023 0.6669 -0.3691 -0.6288 -0.154 0.7309 0.2214 -0.6435 -0.0516 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6731 -0.3326 -0.6341 -0.185 0.7235 -0.287 -0.537 -0.3251 0.7552 0.0168 -0.6233 -0.2023 0.6669 -0.3691 -0.6288 -0.154 0.7309 0.2214 -0.6435 -0.0516 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6731 -0.3326 -0.6341 -0.185 0.7235 -0.287 -0.537 -0.3251 0.7552 0.0168 -0.6233 -0.2023 0.6677 -0.3674 -0.6291 -0.153 0.731 0.222 -0.643 -0.0534 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6731 -0.3326 -0.6341 -0.185 0.7235 -0.287 -0.537 -0.3251 0.7579 0.0215 -0.6219 -0.1959 0.6677 -0.3674 -0.6291 -0.153 0.731 0.222 -0.643 -0.0534 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6731 -0.3326 -0.6341 -0.185 0.7235 -0.287 -0.537 -0.3251 0.7579 0.0215 -0.6219 -0.1959 0.6677 -0.3674 -0.6291 -0.153 0.731 0.222 -0.643 -0.0534 0.8867 0.2246 0.3851 0.1226 0.6635 -0.169 -0.7108 -0.1612 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6735 -0.3334 -0.6355 -0.1771 0.7235 -0.287 -0.537 -0.3251 0.7579 0.0215 -0.6219 -0.1959 0.6677 -0.3674 -0.6291 -0.153 0.731 0.222 -0.643 -0.0534 0.8867 0.2244 0.3853 0.1225 0.6633 -0.1698 -0.7108 -0.161 0.7605 -0.1379 -0.6334 -0.0381 0.9245 0.0096 0.3795 -0.0344
0.7967 -0.1312 -0.5798 -0.1094 0.6735 -0.3334 -0.6355 -0.1771 0.7235 -0.287 -0.537 -0.3251 0.7579 0.0215 -0.6219 -0.1959 0.6677 -0.3674 -0.6291 -0.153 0.731 0.222 -0.643 -0.0534 0.8867 0.2244 0.3853 0.1225 0.6633 -0.1698 -0.7108 -0.161 0.7605 -0.1379 -0.6334 -0.0381 0.9244 0.0095 0.3797 -0.0345
