rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7703 -0.12 -0.6245 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6595 -0.3265 -0.5533 -0.3902 0.7569 0.0236 -0.6431 -0.114 0.6556 -0.0183 -0.7529 0.0544 0.7355 -0.0018 -0.6767 -0.0322 0.9357 0.0117 0.3339 -0.1137 0.6019 -0.3298 -0.6616 -0.302 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.12 -0.6245 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6595 -0.3265 -0.5533 -0.3902 0.7569 0.0236 -0.6431 -0.114 0.6556 -0.0183 -0.7529 0.0544 0.7355 -0.0018 -0.6767 -0.0322 0.9357 0.0117 0.3339 -0.1137 0.6019 -0.3298 -0.6616 -0.302 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.12 -0.6245 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6595 -0.3265 -0.5533 -0.3902 0.7569 0.0236 -0.6431 -0.114 0.6556 -0.0183 -0.7529 0.0544 0.7355 -0.0018 -0.6767 -0.0322 0.9357 0.0117 0.3339 -0.1137 0.6019 -0.3298 -0.6616 -0.302 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.1194 -0.6246 0.0479 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.5538 -0.3891 0.757 0.0226 -0.6436 -0.1107 0.6555 -0.0178 -0.753 0.0543 0.7354 -0.0018 -0.6769 -0.0323 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6688 -0.1958 -0.7159 -0.0428 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.119 -0.6247 0.0473 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.555 -0.3873 0.7559 0.0232 -0.6451 -0.1096 0.6554 -0.0167 -0.7531 0.0543 0.7352 -0.0012 -0.6771 -0.0318 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6689 -0.1947 -0.7161 -0.0441 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.119 -0.6247 0.0473 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.555 -0.3873 0.7559 0.0232 -0.6451 -0.1096 0.6554 -0.0167 -0.7531 0.0543 0.7352 -0.0012 -0.6771 -0.0318 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6689 -0.1947 -0.7161 -0.0441 0.7692 0.1032 0.3457 -0.5273
0.7703 -0.119 -0.6247 0.0473 0.5018 -0.3815 -0.7653 -0.1306 0.6592 -0.3276 -0.555 -0.3873 0.7559 0.0232 -0.6451 -0.1096 0.6554 -0.0167 -0.7531 0.0543 0.7352 -0.0012 -0.6771 -0.0318 0.9357 0.0117 0.3339 -0.1137 0.6021 -0.3303 -0.6614 -0.3017 0.6689 -0.1947 -0.7161 -0.0441 0.7692 0.1032 0.3457 -0.5273
