rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.77 -0.1912 -0.6019 -0.0911 0.7668 0.1409 -0.6244 -0.048 0.6435 -0.1431 -0.7479 -0.0779 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6832 0.1686 -0.7098 0.031 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6832 0.1686 -0.7098 0.031 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6832 0.1686 -0.7098 0.031 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8187 -0.1043 -0.5643 -0.0224 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7693 -0.1938 -0.6012 -0.0956 0.7668 0.1409 -0.6244 -0.048 0.6434 -0.1437 -0.7478 -0.0784 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.683 0.1682 -0.7101 0.0303 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6829 0.1689 -0.71 0.0306 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6829 0.1689 -0.71 0.0306 0.7631 -0.0847 -0.6398 -0.0328 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6829 0.1689 -0.71 0.0306 0.7631 -0.0842 -0.6399 -0.0325 0.9409 -0.1044 0.322 0.0123
0.8185 -0.1038 -0.5645 -0.0249 0.6243 -0.3942 -0.6657 -0.1083 0.7697 -0.1967 -0.5994 -0.098 0.7668 0.1409 -0.6244 -0.048 0.6436 -0.144 -0.7476 -0.0782 0.8028 0.0967 -0.5881 -0.0139 0.9428 0.1035 0.3168 -0.0045 0.6829 0.1689 -0.71 0.0306 0.7631 -0.0842 -0.6399 -0.0325 0.9409 -0.1044 0.322 0.0123
