rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6974 0.062 -0.7133 -0.0292 0.6407 0.2366 -0.7305 0.0015 0.6211 0.0107 -0.7836 0.0054 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6207 -0.1429 -0.7681 -0.0656 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6974 0.062 -0.7133 -0.0292 0.6407 0.2366 -0.7305 0.0015 0.6211 0.0107 -0.7836 0.0054 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6974 0.062 -0.7133 -0.0292 0.6407 0.2366 -0.7305 0.0015 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6974 0.062 -0.7133 -0.0292 0.6407 0.2366 -0.7305 0.0015 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6992 0.0638 -0.7113 -0.0332 0.6407 0.2366 -0.7305 0.0015 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7681 0.0699 -0.6339 0.0568 0.6676 -0.077 -0.7178 0.1821 0.6992 0.0638 -0.7113 -0.0332 0.6407 0.2366 -0.7305 0.0015 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7694 0.0684 -0.632 0.062 0.6657 -0.081 -0.7177 0.1878 0.6992 0.0638 -0.7113 -0.0332 0.6411 0.24 -0.7289 -0.0028 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7694 0.0684 -0.632 0.062 0.6657 -0.081 -0.7177 0.1878 0.6992 0.0638 -0.7113 -0.0332 0.6411 0.24 -0.7289 -0.0028 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7694 0.0684 -0.632 0.062 0.6657 -0.081 -0.7177 0.1878 0.6992 0.0638 -0.7113 -0.0332 0.6411 0.24 -0.7289 -0.0028 0.6205 0.0135 -0.7841 0.0081 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2194 0.2814 -0.0131 0.6204 -0.1424 -0.7683 -0.0673 0.7546 -0.0652 -0.6461 -0.0938 0.9299 -0.0128 0.3674 0.0068
0.7694 0.0684 -0.632 0.062 0.6657 -0.081 -0.7177 0.1878 0.6992 0.0638 -0.7113 -0.0332 0.6411 0.24 -0.7289 -0.0028 0.6202 0.0126 -0.7843 0.0075 0.7473 -0.0515 -0.6622 -0.0176 0.9341 -0.2193 0.2815 -0.0133 0.62 -0.1447 -0.7682 -0.0677 0.7546 -0.0652 -0.6461 -0.0938 0.929 -0.0122 0.37 0.0063
