"rt.uaw"	"rt.uax"	"rt.uay"	"rt.uaz"	"rt.faw"	"rt.fax"	"rt.fay"	"rt.faz"	"rt.thw"	"rt.thx"	"rt.thy"	"rt.thz"	"rt.llw"	"rt.llx"	"rt.lly"	"rt.llz"	"rt.ftw"	"rt.ftx"	"rt.fty"	"rt.ftz"	"lt.uaw"	"lt.uax"	"lt.uay"	"lt.uaz"	"lt.faw"	"lt.fax"	"lt.fay"	"lt.faz"	"lt.thw"	"lt.thx"	"lt.thy"	"lt.thz"	"lt.llw"	"lt.llx"	"lt.lly"	"lt.llz"	"lt.ftw"	"lt.ftx"	"lt.fty"	"lt.ftz"
"41"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7158	-0.058	0.6956	-0.0215	-0.9486	-0.077	-0.3068	-0.0092	-0.6447	-0.1823	0.7105	-0.2152	-0.7413	0.4478	0.4954	-0.0679	-0.6288	0.1316	-0.7561	-0.1247
"42"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7158	-0.058	0.6956	-0.0215	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.6288	0.1316	-0.7561	-0.1247
"43"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7158	-0.058	0.6956	-0.0215	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.769	0.103	-0.6221	-0.1053
"44"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7158	-0.058	0.6956	-0.0215	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.769	0.103	-0.6221	-0.1053
"45"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7169	-0.095	0.6901	0.0286	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.769	0.103	-0.6221	-0.1053
"46"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7169	-0.095	0.6901	0.0286	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.769	0.103	-0.6221	-0.1053
"47"	-0.7596	0.1048	0.6031	0.2199	-0.5306	0.5943	0.4241	0.4306	-0.7314	0.3318	0.5551	0.2164	-0.6459	-0.1282	0.7419	0.1265	-0.4374	0.6324	0.451	0.4531	-0.7169	-0.095	0.6901	0.0286	-0.9486	-0.077	-0.3068	-0.0092	-0.7496	-0.118	0.6457	-0.0849	-0.7413	0.4478	0.4954	-0.0679	-0.769	0.103	-0.6221	-0.1053
"48"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7169	-0.095	0.6901	0.0286	-0.9413	-0.0653	-0.3312	-0.0037	-0.7496	-0.118	0.6457	-0.0849	-0.7332	0.3366	0.5825	0.0992	-0.769	0.103	-0.6221	-0.1053
"49"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7169	-0.095	0.6901	0.0286	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.769	0.103	-0.6221	-0.1053
"50"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7169	-0.095	0.6901	0.0286	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.9194	0.0762	-0.3629	-0.1312
"51"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7169	-0.095	0.6901	0.0286	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.9194	0.0762	-0.3629	-0.1312
"52"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7069	-0.1758	0.6841	0.0379	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.9194	0.0762	-0.3629	-0.1312
"53"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7069	-0.1758	0.6841	0.0379	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.9194	0.0762	-0.3629	-0.1312
"54"	-0.7938	0.1361	0.5652	0.1783	-0.5708	0.6396	0.3862	0.3406	-0.7355	0.3166	0.5674	0.1923	-0.6705	-0.1398	0.7229	0.0911	-0.4064	0.6061	0.4799	0.487	-0.7069	-0.1758	0.6841	0.0379	-0.9413	-0.0653	-0.3312	-0.0037	-0.7863	-0.1367	0.6019	-0.028	-0.7332	0.3366	0.5825	0.0992	-0.9194	0.0762	-0.3629	-0.1312
"55"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.7069	-0.1758	0.6841	0.0379	-0.9256	-0.038	-0.3763	0.0168	-0.7863	-0.1367	0.6019	-0.028	-0.6703	0.1198	0.6658	0.3049	-0.9194	0.0762	-0.3629	-0.1312
"56"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.7069	-0.1758	0.6841	0.0379	-0.9256	-0.038	-0.3763	0.0168	-0.7863	-0.1367	0.6019	-0.028	-0.6703	0.1198	0.6658	0.3049	-0.9194	0.0762	-0.3629	-0.1312
"57"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.7069	-0.1758	0.6841	0.0379	-0.9256	-0.038	-0.3763	0.0168	-0.7767	-0.112	0.6198	-0.0048	-0.6703	0.1198	0.6658	0.3049	-0.9755	0.1624	-0.1451	-0.0309
"58"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.7069	-0.1758	0.6841	0.0379	-0.9256	-0.038	-0.3763	0.0168	-0.7767	-0.112	0.6198	-0.0048	-0.6703	0.1198	0.6658	0.3049	-0.9755	0.1624	-0.1451	-0.0309
"59"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.6977	-0.2248	0.67	0.1172	-0.9256	-0.038	-0.3763	0.0168	-0.7767	-0.112	0.6198	-0.0048	-0.6703	0.1198	0.6658	0.3049	-0.9755	0.1624	-0.1451	-0.0309
"60"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.6977	-0.2248	0.67	0.1172	-0.9256	-0.038	-0.3763	0.0168	-0.7767	-0.112	0.6198	-0.0048	-0.6703	0.1198	0.6658	0.3049	-0.9755	0.1624	-0.1451	-0.0309
"61"	-0.8066	0.1478	0.5521	0.1505	-0.5881	0.6656	0.3703	0.272	-0.7303	0.3094	0.584	0.1725	-0.6891	-0.1357	0.7103	0.0461	-0.3979	0.5672	0.5305	0.4885	-0.6977	-0.2248	0.67	0.1172	-0.9256	-0.038	-0.3763	0.0168	-0.7767	-0.112	0.6198	-0.0048	-0.6703	0.1198	0.6658	0.3049	-0.9755	0.1624	-0.1451	-0.0309
"62"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6977	-0.2248	0.67	0.1172	-0.9009	-0.0599	-0.4293	0.0208	-0.7767	-0.112	0.6198	-0.0048	-0.6367	-0.0056	0.713	0.2938	-0.9755	0.1624	-0.1451	-0.0309
"63"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6977	-0.2248	0.67	0.1172	-0.9009	-0.0599	-0.4293	0.0208	-0.7767	-0.112	0.6198	-0.0048	-0.6367	-0.0056	0.713	0.2938	-0.9755	0.1624	-0.1451	-0.0309
"64"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6977	-0.2248	0.67	0.1172	-0.9009	-0.0599	-0.4293	0.0208	-0.7249	-0.1495	0.6718	-0.0296	-0.6367	-0.0056	0.713	0.2938	-0.9478	0.0795	-0.2875	-0.1131
"65"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6977	-0.2248	0.67	0.1172	-0.9009	-0.0599	-0.4293	0.0208	-0.7249	-0.1495	0.6718	-0.0296	-0.6367	-0.0056	0.713	0.2938	-0.9478	0.0795	-0.2875	-0.1131
"66"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6708	-0.3035	0.6235	0.263	-0.9009	-0.0599	-0.4293	0.0208	-0.7249	-0.1495	0.6718	-0.0296	-0.6367	-0.0056	0.713	0.2938	-0.9478	0.0795	-0.2875	-0.1131
"67"	-0.8028	0.137	0.5577	0.1606	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6978	-0.127	0.7049	0.0112	-0.3642	0.5472	0.5328	0.533	-0.6708	-0.3035	0.6235	0.263	-0.9009	-0.0599	-0.4293	0.0208	-0.7249	-0.1495	0.6718	-0.0296	-0.6367	-0.0056	0.713	0.2938	-0.9478	0.0795	-0.2875	-0.1131
"68"	-0.7944	0.0827	0.5662	0.2038	-0.601	0.6323	0.4152	0.2582	-0.7265	0.2957	0.6024	0.1484	-0.6966	-0.1177	0.7076	-0.015	-0.4186	0.5664	0.4521	0.5473	-0.6708	-0.3035	0.6235	0.263	-0.6637	-0.1802	-0.7256	-0.0252	-0.7249	-0.1495	0.6718	-0.0296	-0.6295	0.1409	0.6917	0.3248	-0.9478	0.0795	-0.2875	-0.1131
